iata,icao,airport,latitude,longitude
UNR,ZMUH,Ondorkhaan Airport,47.3049,110.609
ULZ,ZMDN,Donoi Airport,47.7093,96.5258
TNZ,ZMTL,Tosontsengel Airport,48.7389,98.2941
ERT,,Erdenet Airport,48.9831,104.151
MXW,ZMMG,Mandalgovi Airport,45.7381,106.269
MXV,ZMMN,Moron Airport,49.6633,100.099
ULG,ZMUL,Olgii Airport,48.9933,89.9225
UBN,ZMCK,Chinggis Khaan International Airport,47.6516,106.822
ROP,PGRO,Rota International Airport,14.1743,145.243
SPN,PGSN,Saipan International Airport (Francisco C. Ada Int'l),15.119,145.729
TIQ,PGWT,Tinian International Airport (West Tinian Airport),14.9992,145.619
FDF,TFFF,Martinique Aime Cesaire International Airport,14.591,-61.0032
MBR,GQNU,M'Bout Airport,16.0333,-12.6
OUZ,GQPZ,Tazadit Airport,22.7564,-12.4836
NKC,GQNO,Nouakchott-Oumtounsy International Airport,18.31,-15.9697
MOM,GQNL,Letfotar Airport,17.75,-12.5
KFA,GQNF,Kiffa Airport,16.59,-11.4062
LEG,,Aleg Airport,17.1667,-13.95
OTL,GQNB,Boutilimit Airport,17.533,-14.683
AEO,GQNA,Aioun el Atrouss Airport,16.7113,-9.63788
ATR,GQPA,Atar International Airport,20.5068,-13.0432
THI,GQNC,Tichitt Airport,18.45,-9.517
THT,GQNT,Tamchakett Airport,17.233,-10.817
EMN,GQNI,Nema Airport,16.622,-7.3166
KED,GQNK,Kaedi Airport,16.1595,-13.5076
TIY,GQND,Tidjikja Airport,18.5701,-11.4235
CGT,,Chinguetti Airport,20.5055,-12.3978
FGD,GQPF,Fderik Airport,22.667,-12.733
AJJ,GQNJ,Akjoujt Airport,19.733,-14.3832
TMD,GQNH,Timbedra Airport,16.233,-8.167
BGH,GQNE,Abbaye Airport,16.6333,-14.2
SEY,GQNS,Selibaby Airport,15.1797,-12.2073
NDB,GQPP,Nouadhibou International Airport,20.9331,-17.03
MNI,TRPG,John A. Osborne Airport,16.7914,-62.1933
MLA,LMML,Malta International Airport (Luqa Airport),35.8575,14.4775
RRG,FIMR,Sir Gaetan Duval Airport,-19.7577,63.361
MRU,FIMP,Sir Seewoosagur Ramgoolam International Airport,-20.4302,57.6836
NMF,,Maafaru International Airport,5.82222,73.4747
TMF,VRNT,Thimarafushi Airport,2.211,73.1533
KDO,VRMK,Kadhdhoo Airport,1.85917,73.5219
FVM,VRMF,Fuvahmulah Airport,-0.309722,73.435
DRV,VRMD,Dharavandhoo Airport,5.1561,73.1302
MLE,VRMM,Velana International Airport,4.19183,73.5291
FND,,Funadhoo Airport,6.16111,73.2872
IFU,VREI,Ifuru Airport,5.7083,73.025
KDM,VRMT,Kaadedhdhoo Airport,0.488131,72.9969
VAM,VRMV,Villa International Airport,3.47056,72.8358
GAN,VRMG,Gan International Airport,-0.693342,73.1556
GKK,VRMO,Kooddoo Airport,0.7324,73.4336
HAQ,VRMH,Hanimaadhoo International Airport,6.74423,73.1705
VUU,,Mvuu Camp Airport,-14.8386,35.3014
KGJ,FWKA,Karonga Airport,-9.95357,33.893
BLZ,FWCL,Chileka International Airport,-15.6791,34.974
LLW,FWKI,Lilongwe International Airport (Kamuzu Int'l),-13.7894,33.781
KBQ,FWKG,Kasungu Airport,-13.0146,33.4686
MYZ,FWMY,Monkey Bay Airport,-14.0836,34.9197
DWA,FWDW,Dwanga Airport (Dwangwa Airport),-12.5183,34.1319
MAI,FWMG,Mangochi Airport,-14.483,35.267
CMK,FWCM,Club Makokola Airport,-14.3069,35.1325
LMB,FWSM,Salima Airport,-13.7559,34.5842
ZZU,FWUU,Mzuzu Airport,-11.4447,34.0118
LIX,FWLK,Likoma Airport,-12.0758,34.7372
CEH,FWCD,Chelinda Airport,-10.55,33.8
CLQ,MMIA,Licenciado Miguel de la Madrid Airport,19.277,-103.577
CJT,MMCO,Copalar Airport,16.1767,-92.0506
CJS,MMCS,Abraham Gonzalez International Airport,31.6361,-106.429
PCM,,Playa del Carmen Airport,20.6225,-87.0822
TIJ,MMTJ,Tijuana International Airport,32.5411,-116.97
PCO,MMPL,Punta Colorada Airstrip,23.575,-109.536
MLM,MMMM,General Francisco J. Mujica International Airport,19.8499,-101.025
OAX,MMOX,Xoxocotlan International Air,16.9999,-96.7266
TGZ,MMTG,Angel Albino Corzo International Airport,16.5636,-93.0225
SFH,MMSF,San Felipe International Airport,30.9302,-114.809
QRO,MMQT,Queretaro Intercontinental Airport,20.6173,-100.186
SLP,MMSP,Ponciano Arriaga International Airport,22.2543,-100.931
PCV,,Punta Chivato Airstrip,27.0692,-111.962
HMO,MMHO,General Ignacio Pesqueira Garcia International Airport,29.0959,-111.048
GDL,MMGL,Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l),20.5218,-103.311
ACA,MMAA,General Juan N. Alvarez International Airport,16.7571,-99.754
SGM,,San Ignacio Airfield,27.2966,-112.938
ACN,MMCC,Ciudad Acuna International Airport,29.3329,-101.099
TCN,MMHC,Tehuacan Airport,18.4972,-97.4199
CEN,MMCN,Ciudad Obregon International Airport,27.3926,-109.833
ISJ,MMIM,Isla Mujeres Airport,21.245,-86.74
MTT,MMMT,Minatitlan/Coatzacoalcos International Airport,18.1034,-94.5807
TAP,MMTP,Tapachula International Airport,14.7943,-92.37
MTY,MMMY,General Mariano Escobedo International Airport,25.7785,-100.107
LTO,MMLT,Loreto International Airport,25.9892,-111.348
MUG,MMMG,Mulege Airstrip,26.9053,-111.971
SLW,MMIO,Plan de Guadalupe International Airport,25.5495,-100.929
PDS,MMPG,Piedras Negras International Airport,28.6274,-100.535
SCX,MMSZ,Salina Cruz Airport,16.2126,-95.2016
PPE,MMPE,Puerto Penasco International Airport,31.352,-113.305
VSA,MMVA,Carlos Rovirosa Perez International Airport,17.997,-92.8174
MXL,MMML,General Rodolfo Sanchez Taboada International Airport,32.6306,-115.242
VIB,,Villa Constitucion Airport,25.0552,-111.687
BHL,,Bahia de los Angeles Airport,28.9786,-113.561
TAM,MMTM,General Francisco Javier Mina International Airport,22.2964,-97.8659
PQM,MMPQ,Palenque International Airport,17.5332,-92.0155
LOV,MMMV,Venustiano Carranza International Airport,26.9557,-101.47
VER,MMVR,General Heriberto Jara International Airport,19.1459,-96.1873
GUB,MMGR,Guerrero Negro Airport,28.0261,-114.024
SJD,MMSD,Los Cabos International Airport,23.1518,-109.721
LOM,,Francisco Primo de Verdad National Airport,21.2581,-101.944
MZT,MMMZ,General Rafael Buelna International Airport,23.1614,-106.266
XAL,,Alamos Airport,27.0357,-108.948
ZMM,MMZM,Zamora National Airport,20.045,-102.276
UPN,MMPN,Ignacio Lopez Rayon International Airport,19.3967,-102.039
ZLO,MMZO,Playa de Oro International Airport,19.1448,-104.559
AGU,MMAS,Lic. Jesus Teran Peredo International Airport,21.7056,-102.318
GYM,MMGM,General Jose Maria Yanez International Airport,27.969,-110.925
LMM,MMLM,Valle del Fuerte Federal International Airport,25.6852,-109.081
REX,MMRX,General Lucio Blanco International Airport,26.0089,-98.2285
AZG,,Pablo L. Sidar Airport,19.0934,-102.394
ZIH,MMZH,Ixtapa-Zihuatanejo International Airport,17.6016,-101.461
NCG,MMCG,Nuevo Casas Grandes Municipal Airport,30.3974,-107.875
DGO,MMDO,General Guadalupe Victoria International Airport,24.1242,-104.528
LZC,MMLC,Lazaro Cardenas Airport,18.0017,-102.221
AZP,MMJC,Jorge Jimenez Cantu National Airport,19.5748,-99.2888
ESE,MMES,Ensenada Airport,31.7953,-116.603
CZM,MMCZ,Cozumel International Airport,20.5224,-86.9256
UAC,,San Luis Rio Colorado Airport,32.4453,-114.798
AJS,MX86,Punta Abreojos Airstrip,26.7272,-113.559
TZM,,Cupul National Airport,21.1557,-88.1729
SNQ,,San Quintin Military Airstrip,30.5288,-115.946
LAP,MMLP,Manuel Marquez de Leon International Airport,24.0727,-110.362
CZA,MMCT,Chichen Itza International Airport,20.6413,-88.4462
TUY,,Tulum Airport,20.2273,-87.4382
BJX,MMLO,Del Bajio International Airport (Guanajuato Int'l Airport),20.9935,-101.481
ZCL,MMZC,General Leobardo C. Ruiz International Airport,22.8971,-102.687
CYW,MMCY,Captain Rogelio Castillo National Airport,20.546,-100.887
PAZ,MMPA,El Tajin National Airport,20.6027,-97.4608
SRL,,Palo Verde Airport,27.0927,-112.099
PBC,MMPB,Hermanos Serdan International Airport,19.1581,-98.3714
NLD,MMNL,Quetzalcoatl International Airport,27.4439,-99.5705
HUX,MMBT,Bahias de Huatulco International Airport,15.7753,-96.2626
NLU,MMSM,Felipe Ángeles International Airport,19.7553,-99.0164
TSL,MMTN,Tamuin National Airport,22.0383,-98.8065
CVM,MMCV,General Pedro J. Mendez International Airport,23.7033,-98.9565
CVJ,MMCB,General Mariano Matamoros Airport,18.8348,-99.2613
CUU,MMCU,General Roberto Fierro Villalobos International Airport,28.7029,-105.965
CUN,MMUN,Cancun International Airport,21.0365,-86.8771
MAM,MMMA,General Servando Canales International Airport,25.7699,-97.5253
NOG,MMNG,Nogales International Airport,31.2261,-110.976
TRC,MMTC,Francisco Sarabia International Airport,25.5683,-103.411
CUL,MMCL,Bachigualato Federal International Airport,24.7645,-107.475
CUA,,Ciudad Constitucion Airport,25.0538,-111.615
CTM,MMCM,Chetumal International Airport,18.5047,-88.3268
TPQ,MMEP,Amado Nervo International Airport,21.4195,-104.843
MEX,MMMX,Mexico City International Airport,19.4363,-99.0721
JAL,MMJA,El Lencero Airport,19.4751,-96.7975
PVR,MMPR,Licenciado Gustavo Diaz Ordaz International Airport,20.6801,-105.254
CPE,MMCP,Ing. Alberto Acuna Ongay International Airport,19.8168,-90.5003
IZT,MMIT,Ixtepec Airport,16.4493,-95.0937
NTR,MMAN,Del Norte International Airport,25.8656,-100.237
MID,MMMD,Manuel Crescencio Rejon International Airport,20.937,-89.6577
CNA,MMCA,Cananea National Airport,31.0662,-110.098
TLC,MMTO,Licenciado Adolfo Lopez Mateos International Airport,19.3371,-99.566
PXM,MMPS,Puerto Escondido International Airport,15.8769,-97.0891
MMC,MMDM,Ciudad Mante National Airport,22.7432,-99.0174
CME,MMCE,Ciudad del Carmen International Airport,18.6537,-91.799
PEN,WMKP,Penang International Airport,5.29714,100.277
LSM,WBGD,Long Semado Airport,4.217,115.6
SMM,WBKA,Semporna Airport,4.45,118.583
ODN,WBGI,Long Seridan Airport,3.967,115.05
LBU,WBKL,Labuan Airport,5.30068,115.25
ZJT,,Tanjung Pelepas Port Airport,1.58333,110.483
SZB,WMSA,Sultan Abdul Aziz Shah Airport,3.13058,101.549
BTU,WBGB,Bintulu Airport,3.12385,113.02
MZV,WBMU,Mulu Airport,4.04833,114.805
MKM,WBGK,Mukah Airport,2.90639,112.08
TGC,WBTM,Tanjung Manis Airport,2.17784,111.202
AOR,WMKA,Sultan Abdul Halim Airport,6.18967,100.398
BSE,WBGN,Sematan Airport,1.81361,109.763
ZLW,,Pasir Gudang Port Airport,5.95,102.083
TPG,WMBI,Taiping Airport,4.867,100.717
MEP,WMAU,Mersing Airport,2.383,103.867
KUL,WMKK,Kuala Lumpur International Airport,2.74558,101.71
KTE,WMKE,Kerteh Airport,4.53722,103.427
TWU,WBKW,Tawau Airport,4.32016,118.128
MKZ,WMKM,Malacca International Airport,2.26336,102.252
IPH,WMKI,Sultan Azlan Shah Airport,4.56797,101.092
LBP,,Long Banga Airport,3.202,115.402
GSA,WBKN,Long Pasia Airport,4.4,115.717
LAC,,Layang-Layang Airport (Swallow Reef Airport),7.37157,113.844
BBN,WBGZ,Bario Airport,3.73389,115.479
TGG,WMKN,Sultan Mahmud Airport,5.38264,103.103
BWH,WMKB,RMAF Butterworth,5.46592,100.391
SDK,WBKS,Sandakan Airport,5.9009,118.059
RDN,WMPR,Redang Airport,5.76528,103.007
SXT,WMAN,Sungai Tiang Airport,4.33028,102.395
LWY,WBGW,Lawas Airport,4.84917,115.408
SWY,WMBA,Sitiawan Airport,4.2222,100.699
LDU,WBKD,Lahad Datu Airport,5.03225,118.324
TMG,WBKM,Tommanggong Airport,5.40257,118.658
KBR,WMKC,Sultan Ismail Petra Airport,6.16685,102.293
LSU,WBGU,Long Sukang Airport,4.55222,115.494
MYY,WBGR,Miri Airport,4.32201,113.987
KCH,WBGG,Kuching International Airport,1.4847,110.347
SPT,,Sipitang Airstrip,5.08333,115.55
TOD,WMBT,Tioman Airport,2.81818,104.16
RNU,WBKR,Ranau Airport,5.95,116.667
LGL,WBGF,Long Lellang Airport,3.421,115.154
JHB,WMKJ,Senai International Airport,1.64131,103.67
SPE,WBKO,Sepulot Airport,4.733,116.467
LGK,WMKL,Langkawi International Airport,6.32973,99.7287
KPI,WBGP,Kapit Airport,2.01052,112.931
BLG,WBGC,Belaga Airport,2.65,113.767
LKH,WBGL,Long Akah Airport,3.3,114.783
LMN,WBGJ,Limbang Airport,4.8083,115.01
PKG,WMPA,Pangkor Airport,4.24472,100.553
BKM,WBGQ,Bakelalan Airport,3.974,115.618
PAY,WBKP,Pamol Airport,5.9993,117.4
BKI,WBKK,Kota Kinabalu International Airport,5.93721,116.051
KUA,WMKD,Sultan Haji Ahmad Shah Airport (RMAF Kuantan),3.77539,103.209
SBW,WBGS,Sibu Airport,2.2616,111.985
KGU,WBKG,Keningau Airport,5.35749,116.162
MUR,WBGM,Marudi Airport,4.17898,114.329
SXS,WBKH,Sahabat Airport,5.08778,119.094
KUD,WBKT,Kudat Airport,6.9225,116.836
TEL,WBKE,Telupid Airport,5.62861,117.126
SGG,WBGY,Simanggang Airport,1.20872,111.453
PDD,FQPO,Ponta do Ouro Airport,-26.8286,32.8377
RRM,,Marromeu Airport,-18.2929,35.9345
MMW,,Moma Airport,-16.75,39.2167
INE,,Chinde Airport,-18.59,36.4489
MJS,,Maganja da Costa Airport,-17.3087,37.5
AME,,Alto Molocue Airport,-15.6103,37.6814
NTC,,Santa Carolina Airport,-21.615,35.338
UEL,FQQL,Quelimane Airport,-17.8555,36.8691
NND,,Nangade Airport,-11.073,39.68
IBL,,Indigo Bay Lodge Airport,-21.708,35.4528
FXO,FQCB,Cuamba Airport,-14.815,36.53
IMG,,Inhaminga Airport,-18.41,35.0045
VPY,FQCH,Chimoio Airport,-19.1513,33.429
APL,FQNP,Nampula Airport,-15.1056,39.2818
LMZ,,Palma Airport,-10.7506,40.4702
MTU,,Montepuez Airport,-13.1219,39.0528
VNX,FQVL,Vilankulo Airport,-22.0184,35.3133
MFW,,Magaruque Airport,-21.9672,35.4247
VXC,FQLC,Lichinga Airport,-13.274,35.2663
TGS,,Chokwe Airport,-24.5206,32.9653
LBM,,Luabo Airport,-18.4139,36.1068
PEB,,Pebane Airport,-17.267,38.167
MZB,FQMP,Mocimboa da Praia Air,-11.3618,40.3549
POL,FQPB,Pemba Airport,-12.9918,40.524
BCW,,Benguerra Island Airport,-21.8533,35.4383
INH,FQIN,Inhambane Airport,-23.8764,35.4085
BZB,,Bazaruto Island Airport,-21.5411,35.4729
MUD,FQMD,Mueda Airport,-11.6729,39.5631
DGK,,Dugong Beach Lodge Airstrip,-22.1342,35.4436
VJB,FQXA,Xai-Xai Airport,-25.0378,33.6274
IBO,FQIB,Ibo Island Airport,-12.3502,40.6023
LFB,FQLU,Lumbo Airport,-15.0331,40.6717
VJQ,,Gurue Airport,-15.5062,36.9904
BEW,FQBR,Beira Airport,-19.7964,34.9076
MNC,FQNC,Nacala Airport,-14.4882,40.7122
IHC,FQIA,Inhaca Airport,-25.9971,32.9294
TET,FQTT,Chingozi Airport,-16.1048,33.6402
CMZ,,Caia Airport,-17.8331,35.3341
MPM,FQMA,Maputo International Airport,-25.9208,32.5726
ANO,FQAG,Angoche Airport,-16.1819,39.9452
BJN,,Bajone Airport,-17.1833,37.95
OGV,FYNG,Ongava Airstrip,-22.1833,18.5333
WVB,FYWB,Walvis Bay Airport,-22.9799,14.6453
TCY,FYTE,Terrace Bay Airport,-19.9713,13.0249
AIW,FYAA,Ai-Ais Airport,-27.995,17.5966
SZM,FYSS,Sesriem Airport,-24.5128,15.7467
OND,FYOA,Ondangwa Airport,-17.8782,15.9526
OKU,FYMO,Mokuti Lodge Airport,-18.8128,17.0594
KAS,FYKB,Karasburg Airport,-28.0297,18.7385
MQG,FYMG,Midgard Airport,-22.0106,17.37
NNI,FYNA,Namutoni Airport,-18.8064,16.9272
RHN,FYSA,Skorpion Mine Airport,-27.8764,16.6478
WDH,FYWH,Hosea Kutako International Airport,-22.4799,17.4709
OMD,FYOG,Oranjemund Airport,-28.5847,16.4467
BQI,,Bagani Airport,-18.1181,21.6244
HAL,FYHI,Halali Airport,-19.0285,16.4585
GOG,FYGB,Gobabis Airport,-22.5044,18.9731
MJO,FYME,Mount Etjo Airport,-21.0233,16.4528
OPW,FYOP,Opuwa Airport,-18.0614,13.8505
ERS,FYWE,Eros Airport,-22.6122,17.0804
OHI,FYOS,Oshakati Airport,-17.797,15.6993
OMG,FYOE,Omega Airport,-18.0303,22.1897
KMP,FYKT,Keetmanshoop Airport,-26.5398,18.1114
ADI,FYAR,Arandis Airport,-22.4622,14.98
OKF,FYOO,Okaukuejo Airport,-19.1492,15.9119
OTJ,FYOW,Otjiwarongo Airport,-20.4347,16.6608
SWP,FYSM,Swakopmund Airport,-22.6619,14.5681
LHU,FYLS,Lianshulu Airport,-18.1167,23.3933
TSB,FYTM,Tsumeb Airport,-19.2619,17.7325
GFY,FYGF,Grootfontein Air Base,-19.6022,18.1227
LUD,FYLZ,Luderitz Airport,-26.6874,15.2429
NDU,FYRU,Rundu Airport,-17.9565,19.7194
MPA,FYKM,Katima Mulilo Airport (Mpacha Airport),-17.6344,24.1767
PDC,NWWQ,Mueo/Nickel Airport,-21.3164,164.999
BMY,NWWC,Ile Art - Waala Airport,-19.7206,163.661
KNQ,NWWD,Kone Airport,-21.0543,164.837
ILP,NWWE,Ile des Pins Airport,-22.5889,167.456
KOC,NWWK,Koumac Airport,-20.5463,164.256
PUV,NWWP,Malabou Airport,-20.2892,164.099
TOU,NWWU,Touho Airport,-20.79,165.259
TGJ,NWWA,Tiga Airport,-21.0961,167.804
GEA,NWWM,Noumea Magenta Airport,-22.2583,166.473
NOU,NWWW,La Tontouta International Airport,-22.0146,166.213
MEE,NWWR,Mare Airport,-21.4817,168.038
UVE,NWWV,Ouvea Airport (Ouloup Airp,-20.6406,166.573
LIF,NWWL,Ouanaham Airport,-20.7748,167.24
ZND,DRZR,Zinder Airport,13.779,8.98376
NIM,DRRN,Diori Hamani International Airport,13.4815,2.18361
AJY,DRZA,Mano Dayak International Airport,16.966,8.00011
THZ,DRRT,Tahoua Airport,14.8757,5.26536
MFQ,DRRM,Maradi Airport,13.5025,7.12675
RLT,DRZL,Arlit Airport,18.7904,7.36595
NLK,YSNF,Norfolk Island Airport,-29.0416,167.939
BCU,,Bauchi State Airport,10.4828,9.744
QRW,DNSU,Warri Airport (Osubi Airport),5.59611,5.81778
DKA,,Katsina Airport,13.0078,7.66045
LOS,DNMM,Murtala Muhammed International Airport,6.57737,3.32116
AKR,DNAK,Akure Airport,7.24674,5.30101
QUO,DNAI,Akwa Ibom International Airport,4.8725,8.093
ZAR,DNZA,Zaria Airport,11.1302,7.68581
SKO,DNSO,Sadiq Abubakar III International Airport,12.9163,5.20719
YOL,DNYO,Yola Airport,9.25755,12.4304
BNI,DNBE,Benin Airport,6.31698,5.5995
GMO,DNGO,Gombe Lawanti International Airport,10.2983,10.8964
CBQ,DNCA,Margaret Ekpo International Airport,4.97602,8.3472
KAD,DNKA,Kaduna Airport,10.696,7.32011
ENU,DNEN,Akanu Ibiam International Airport,6.47427,7.56196
ABV,DNAA,Nnamdi Azikiwe International Airport,9.00679,7.26317
PHC,DNPO,Port Harcourt International Airport,5.01549,6.94959
ABB,DNAS,Asaba International Airport,6.20417,6.66528
MXJ,DNMN,Minna Airport,9.65217,6.46226
MIU,DNMA,Maiduguri International Airport,11.8553,13.0809
ILR,DNIL,Ilorin International Airport,8.44021,4.49392
PHG,,Port Harcourt City Airport,4.84611,7.02139
QOW,DNIM,Sam Mbakwe Airport,5.42706,7.20603
KAN,DNKN,Mallam Aminu Kano International Airport,12.0476,8.52462
MDI,DNMK,Makurdi Airport,7.70388,8.61394
JOS,DNJO,Yakubu Gowon Airport,9.63983,8.86905
IBA,DNIB,Ibadan Airport,7.36246,3.97833
BZA,MNBZ,San Pedro Airport,14.0315,-84.6243
NCR,MNSC,San Carlos Airport,11.1334,-84.77
BEF,MNBL,Bluefields Airport,11.991,-83.7741
WSP,MNWP,Waspam Airport,14.7392,-83.9694
PUZ,MNPC,Puerto Cabezas Airport,14.0472,-83.3867
ECI,MNLP,Costa Esmeralda Airport,11.4275,-86.0334
NVG,MNNG,Nueva Guinea Airport,11.6667,-84.45
RNI,MNCI,Corn Island Airport,12.1629,-83.0638
SIU,MNSI,Siuna Airport,13.7272,-84.7778
RFS,MNRT,Rosita Airport,13.8897,-84.4089
MGA,MNMG,Augusto C. Sandino International Airport,12.1415,-86.1682
LEY,EHLE,Lelystad Airport,52.4603,5.52722
EIN,EHEH,Eindhoven Airport,51.4501,5.37453
WOE,EHWO,Woensdrecht Air Base,51.4491,4.34203
UDE,EHVK,Volkel Air Base,51.6564,5.70861
UTC,EHSB,Soesterberg Air Base,52.1273,5.27619
GRQ,EHGG,Groningen Airport Eelde,53.1197,6.57944
LWR,EHLW,Leeuwarden Air Base,53.2286,5.76056
RTM,EHRD,Rotterdam The Hague Airport,51.9569,4.43722
AMS,EHAM,Amsterdam Airport Schiphol,52.3086,4.76389
MST,EHBK,Maastricht Aachen Airport,50.9117,5.77014
GLZ,EHGR,Gilze-Rijen Air Base,51.5674,4.93183
DHR,EHKD,De Kooy Airfield,52.9234,4.78062
ENS,EHTW,Enschede Airport Twente,52.2758,6.88917
HAU,ENHD,Haugesund Airport,59.3453,5.20836
HVG,ENHV,Honningsvag Airport,71.0097,25.9836
MOL,ENML,Molde Airport,62.7447,7.2625
RRS,ENRO,Roros Airport,62.5784,11.3423
RYG,ENRY,Moss Airport,59.3788,10.7854
FDE,ENBL,Forde Airport,61.3911,5.75694
MQN,ENRA,Mo i Rana Airport,66.3639,14.3014
VDS,ENVD,Vadso Airport,70.0653,29.8447
TRF,ENTO,Sandefjord Airport,59.1867,10.2586
SKE,ENSN,Skien Airport,59.185,9.56694
TRD,ENVA,Trondheim Airport,63.4578,10.924
KSU,ENKB,Kristiansund Airport,63.1118,7.82452
SVJ,ENSH,Svolvaer Airport,68.2433,14.6692
AES,ENAL,Alesund Airport,62.5625,6.1197
TOS,ENTC,Tromse Airport,69.6833,18.9189
OSY,ENNM,Namsos Airport,64.4722,11.5786
SVG,ENZV,Stavanger Airport,58.8767,5.63778
GLL,ENKL,Gol Airport,60.7911,9.04867
OLA,ENOL,Orland Airport,63.6989,9.604
NTB,ENNO,Notodden Airport,59.5657,9.21222
KKN,ENKR,Kirkenes Airport,69.7258,29.8913
RET,ENRS,Rost Airport,67.5278,12.1033
FRO,ENFL,Floro Airport,61.5836,5.02472
NVK,ENNK,Narvik Airport,68.4369,17.3867
HFT,ENHF,Hammerfest Airport,70.6797,23.6686
SOG,ENSG,Sogndal Airport,61.1561,7.13778
HAA,ENHK,Hasvik Airport,70.4867,22.1397
RVK,ENRM,Rorvik Airport,64.8383,11.1461
OSL,ENGM,Oslo Airport,60.1939,11.1004
ALF,ENAT,Alta Airport,69.9761,23.3717
BDU,ENDU,Bardufoss Airport,69.0558,18.5404
SSJ,ENST,Sandnessjoen Airport,65.9568,12.4689
ANX,ENAN,Andoya Airport,69.2925,16.1442
SKN,ENSK,Stokmarknes Airport,68.5788,15.0334
HMR,ENHA,Hamar Airport,60.8181,11.068
BGO,ENBR,Bergen Airport,60.2934,5.21814
SOJ,ENSR,Sorkjosen Airport,69.7868,20.9594
KRS,ENCN,Kristiansand Airport,58.2042,8.08537
BJF,ENBS,Batsfjord Airport,70.6005,29.6914
BNN,ENBN,Bronnoysund Airport,65.4611,12.2175
BOO,ENBO,Bodo Airport,67.2692,14.3653
SRP,ENSA,Stord Airport,59.7919,5.34085
MEH,ENMH,Mehamn Airport,71.0297,27.8267
BVG,ENBV,Berlevag Airport,70.8714,29.0342
MJF,ENMS,Mosjoen Airport,65.784,13.2149
HOV,ENOV,Orsta-Volda Airport,62.18,6.0741
LKN,ENLK,Leknes Airport,68.1525,13.6094
SDN,ENSD,Sandane Airport,61.83,6.10583
LKL,ENNA,Lakselv Airport,70.0688,24.9735
VAW,ENSS,Varddo Air,70.3554,31.0449
EVE,ENEV,Harstad/Narvik Airport,68.4913,16.6781
VDB,ENFG,Fagernes Airport,61.0156,9.28806
SIH,VNDT,Silgadhi Airport,29.2631,80.936
SYH,VNSB,Syangboche Airport,27.8112,86.7123
SIF,VNSI,Simara Airport,27.1595,84.9801
JKR,VNJP,Janakpur Airport,26.7088,85.9224
KTM,VNKT,Tribhuvan International Airport,27.6966,85.3591
JIR,VNJI,Jiri Airport,27.6263,86.2306
BGL,VNBL,Balewa Airport,28.2128,83.6663
KEP,VNNG,Nepalgunj Airport,28.1036,81.667
BIT,VNBT,Baitadi Airport,29.4653,80.5492
RHP,VNRC,Ramechhap Airport,27.394,86.0614
BJH,VNBG,Bajhang Airport,29.539,81.1854
RUK,VNRK,Chaurjahari Airport,28.627,82.195
PPL,VNPL,Phaplu Airport,27.5178,86.5845
PKR,VNPK,Pokhara Airport,28.2009,83.9821
SKH,VNSK,Surkhet Airport,28.586,81.636
RJB,VNRB,Rajbiraj Airport,26.5101,86.7339
GKH,VNGK,Palungtar Airport,28.0385,84.4664
BJU,VNBR,Bajura Airport,29.502,81.669
BDP,VNCG,Bhadrapur Airport (Chandragadhi Airport),26.5708,88.0796
IMK,VNST,Simikot Airport,29.9711,81.8189
DHI,VNDH,Dhangadhi Airport,28.7533,80.5819
LUA,VNLK,Tenzing-Hillary Airport,27.6869,86.7297
LDN,VNLD,Lamidanda Airport,27.2531,86.67
TMI,VNTR,Tumlingtar Airport,27.315,87.1933
DNP,VNDG,Tribhuvannagar Airport (Dang Airport),28.1111,82.2942
JMO,VNJS,Jomsom Airport,28.7804,83.723
DAP,VNDL,Darchula Airport,29.6692,80.5484
BWA,VNBW,Gautam Buddha Airport,27.5057,83.4163
BHP,VNBJ,Bhojpur Airport,27.1474,87.0508
LTG,VNLT,Langtang Airport,28.2,85.583
TPU,VNTP,Tikapur Airport,28.5219,81.123
BHR,VNBP,Bharatpur Airport,27.6781,84.4294
XMG,VNMN,Mahendranagar Airport,28.9632,80.1479
DOP,VNDP,Dolpa Airport,28.9857,82.8191
RPA,VNRP,Rolpa Airport,28.2673,82.7565
MEY,VNMG,Meghauli Airport,27.5774,84.2288
FEB,VNSR,Sanfebagar Airport,29.2366,81.2153
TPJ,VNTJ,Taplejung Airport,27.3509,87.6953
NGX,VNMA,Manang Airport,28.6414,84.0892
BIR,VNVT,Biratnagar Airport,26.4815,87.264
JUM,VNJL,Jumla Airport,29.2742,82.1933
RUM,VNRT,Rumjatar Airport,27.3035,86.5504
INU,ANYN,Nauru International Airport,-0.547458,166.919
IUE,NIUE,Niue International Airport (Hanan Int'l),-19.079,-169.926
CHC,NZCH,Christchurch International Airport,-43.4894,172.532
HKK,NZHK,Hokitika Airport,-42.7136,170.985
OHA,NZOH,RNZAF Base Ohakea,-40.206,175.388
GBZ,NZGB,Great Barrier Aerodrome,-36.2414,175.472
ALR,NZLX,Alexandra Aerodrome,-45.2117,169.373
TKZ,NZTO,Tokoroa Aerodrome,-38.2367,175.892
KTF,NZTK,Takaka Aerodrome,-40.8133,172.775
RAG,NZRA,Raglan Aerodrome,-37.8047,174.86
MTA,NZMA,Matamata Airport,-37.7344,175.742
KKO,NZKO,Kaikohe Aerodrome,-35.4511,173.817
